"Varname","Theme","ThemeEn","VarLabel","VarLabelEn","numLevel","textLevel","textLabelEn","Type","coeff_label"
"sex","Alter und Geschlecht (1701)","Age and gender (1701)","Geschlecht","gender",-97,"Nicht erhoben","not applicable","Nominal","sex-97"
"sex","Alter und Geschlecht (1701)","Age and gender (1701)","Geschlecht","gender",1,"Männlich","Male","Nominal","sex1"
"sex","Alter und Geschlecht (1701)","Age and gender (1701)","Geschlecht","gender",2,"Weiblich","Female","Nominal","sex2"
"sex","Alter und Geschlecht (1701)","Age and gender (1701)","Geschlecht","gender",99,"Gesamt","total","Nominal","sex99"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",1,"18 bis 19 Jahre","18 to 19 years","Ordinal","age5B1"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",10,"60 bis 64 Jahre","60 to 64","Ordinal","age5B10"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",11,"65 bis 69 Jahre","65 to 69 years","Ordinal","age5B11"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",12,"70 bis 74 Jahre","70 to 74 years","Ordinal","age5B12"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",13,"75 bis 79 Jahre","75 to 79 years","Ordinal","age5B13"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",14,"80 bis 84 Jahre","80 to 84 years","Ordinal","age5B14"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",15,"85 bis 89 Jahre","85 to 89 years","Ordinal","age5B15"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",16,"90+ Jahre","90+ years","Ordinal","age5B16"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",2,"20 bis 24 Jahre","20 to 24 years","Ordinal","age5B2"
"age5B","Alter und Geschlecht (1701)","Age and gender (1701)","Alter (5-Jahres-Gruppen)","Age (5-year groups)",3,"25 bis 29 Jahre","25 to 29 years","Ordinal","age5B3"
